"Источник трафика","Площадка","Страна","Визиты","Посетители","Отказы","Время на сайте","Целевые посетители (Переход в Telegram)","Целевые посетители (Переход в WhatsApp)","Целевые посетители (Автоцель: клик по email)","Целевые посетители (Отправка формы (go to thank-you-page))","Целевые посетители (Клик кнопки Звонок)","Целевые посетители (Клик номера телефона (footer))"
"Переходы по рекламе","com.draw.to.pee.bo","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.dream.home.happy.art.jigsaw.puzzle.free.game","Узбекистан","1","1","0.0","00:04:51","0","0","0","0","0","0"
"Переходы по рекламе","com.dy.game.makeupstylist.mi","Казахстан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.easybrain.art.puzzle","Казахстан","1","1","0.0","00:00:28","0","0","0","0","0","0"
"Переходы по рекламе","com.easybrain.jigsaw.puzzles","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.easygames.race","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.easygames.race","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.epicdrive.bgt.cargames","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.europosit.pixelcoloring","Не определено","1","1","0.0","00:00:26","0","0","0","0","0","0"
"Переходы по рекламе","com.europosit.pixelcoloring","Казахстан","1","1","0.0","00:01:05","0","1","0","0","0","0"
"Переходы по рекламе","com.europosit.pixelcoloring","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.evrika.fillwords.huawei","Беларусь","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.evrika.word.stream","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.fanatee.cody","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
