Источник трафика;Площадка;Страна;Визиты;Посетители;Коэффициент отказов;Среднее время на сайте, сек;Целевые посетители (Переход в Telegram);Целевые посетители (Переход в WhatsApp);Целевые посетители (Автоцель: клик по email);Целевые посетители (Отправка формы (go to thank-you-page));Целевые посетители (Клик кнопки Звонок);Целевые посетители (Клик номера телефона (footer));Total goals;Junk source
Переходы по рекламе;com.NikitaPokruchin.ALTCITYOnline;Азербайджан;1.0;1.0;0.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.Olnip.MergeElements;Казахстан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.Polystation.BuildABabe;Азербайджан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.Polystation.BuildABabe;Беларусь;1.0;1.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.Polystation.BuildABabe;Россия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.Polystation.BuildABabe;Таджикистан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.PoxelStudios.DudeTheftAuto;Казахстан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.SekGames.MyDreamHospital;Казахстан;1.0;1.0;0.0;597.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.TGZS.TDZ4;Казахстан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.YsoCorp.TankMergeRoyal;Казахстан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.abi.cook.chill;Казахстан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
